lon,lat,country
14.550072,47.516231,Austria
4.469936,50.503887,Belgium
9.501785,56.26392,Denmark
25.7481511,61.92410999999999,Finland
2.213749,46.227638,France
10.451526,51.165691,Germany
21.824312,39.074208,Greece
78.96288,20.593684,India
12.56738,41.87194,Italy
37.6172999,55.755826,Moscow Russia
5.291265999999999,52.132633,Netherlands
8.468945999999999,60.47202399999999,Norway
-8.224454,39.39987199999999,Portugal
-4.2026458,56.49067119999999,Scotland
103.819836,1.352083,Singapore
-3.74922,40.46366700000001,Spain
8.227511999999999,46.818188,Switzerland
-3.435973,55.378051,UK
